year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2022,390,Varanasi Cantt.,Varanasi,53.89,Saurabh Srivastava,BJP,147833.0,60.63,Pooja Yadav,SP,60989.0,25.01,86844.0
2022,391,Sevapuri,Varanasi,63.83,Neel Ratan Singh Patel,BJP,105163.0,47.6,Surendra Singh Patel,SP,82632.0,37.41,22531.0
2022,392,Bhadohi,Bhadohi,58.33,Zahid Beg,SP,100738.0,40.24,Ravindra Tripathi,BJP,95853.0,38.29,4885.0
2022,393,Gyanpur,Bhadohi,55.66,Vipul Dubey,NISHAD,73446.0,34.12,Ram Kishore Bind,SP,67215.0,31.23,6231.0
2022,394,Aurai (SC),Bhadohi,59.5,Dinanath Bhashkar,BJP,93691.0,41.69,Smt. Anjani,SP,92044.0,40.95,1647.0
2022,395,Chhanbey (SC),Mirzapur,57.91,Rahul Prakash Kol,AD(S),102502.0,47.29,Kirti,SP,64389.0,29.71,38113.0
2022,396,Mirzapur,Mirzapur,56.46,Ratnakar Mishra,BJP,118642.0,52.09,Kailash Chaurasia,SP,78766.0,34.58,39876.0
2022,397,Majhawan,Mirzapur,61.68,Dr. Vinod Kumar Bind,NISHAD,103235.0,42.07,Rohit Shukla,SP,69648.0,28.38,33587.0
2022,398,Chunar,Mirzapur,62.33,Anurag Singh,BJP,110980.0,50.26,Ramashankar Prasad Singh,AD(K),63366.0,28.7,47614.0
2022,399,Marihan,Mirzapur,64.59,Rama Shankar Singh,BJP,105377.0,44.51,Narendra Singh Kushwaha,BSP,42466.0,17.94,62911.0
2022,400,Ghorawal,Sonbhadra,63.5,Anil Kumar Maurya,BJP,101277.0,40.46,Ramesh Chandra Dubey,SP,77355.0,30.9,23922.0
2022,401,Robertsganj,Sonbhadra,61.06,Bhupesh Chaubey,BJP,84496.0,40.29,Avinash Kushwaha,SP,78875.0,37.61,5621.0
2022,402,Obra (ST),Sonbhadra,49.8,Sanjeev Kumar Gond,BJP,78364.0,48.04,Arvind Kumar,SP,51922.0,31.83,26442.0
2022,403,Duddhi (ST),Sonbhadra,61.58,Ramdular Gaur,BJP,84407.0,41.28,Vijay Singh Gour,SP,78110.0,38.2,6297.0
